name,line
Translator,"""As you can see, I am a giant coffee bean. I can bring you caffeine. Do you accept?"""
Mordecai,"Wait, what?"
Giant Coffee Bean,"Coffee coffee, coffee coffee coffee, coffee coffee, coffee coffee coffee."
Rigby,"Ah, cool, a contract! Let's sign it!"
Giant Coffee Bean,"Coffee, coffee!"
Montage,"""Working for the Weekend"" by Loverboy starts playing. A text card pops up saying ""MAGIC!"" Mordecai and Rigby appear in the middle of the Park pumping their fists. The lawnmower then appears below them. They drive off. The Coffee Bean and Translator are walking along, with close-ups of their legs and butts. The Coffee Bean then shoots coffee out of his hands, which goes straight into Mordecai and Rigby's mouths. They turn and look at the audience while pumping their fists. They drive off in the lawnmower and create the words ""Fist Pump"" in the grass. The Coffee Bean and Translator click their fingers and two empty coffee jugs held by Mordecai and Rigby are magically filled up with coffee. They take a sip from the jugs and backflip into the lawnmower, where they pump their fists again. The Coffee Bean and Translator briefly join Mordecai and Rigby on the lawnmower, as they all pump their fists. The four of them are then seen dancing in the middle of the park. Suddenly, in the Void, multiple images of the Coffee Bean pop up, as they transition into regular coffee beans and fall into a Coffee Pro coffee machine. A coffee jug is seen being filled up, and is taken by the Translator, who passes it to Mordecai as he and Rigby drive by. Mordecai takes a sip then passes it to Rigby, who just pours the jug over himself, before throwing it away. The Coffee Bean winks, as Mordecai and Rigby drive in circles in a novelty-sized cup, and burst through it. Benson stands in the middle of the lawn, nodding impressed, and pulls out his wallet. Mordecai and Rigby quickly drive by and Mordecai, holding a vacuum, sucks away Benson's wallet. Benson turns to see Mordecai and Rigby riding into the sunset, which then transforms into the Coffee Bean, who smiles and leaks coffee out of his mouth. Later, Mordecai and Rigby are walking into their room holding two diamond-coated tickets)"
Mordecai and Rigby,"Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah!"
Mordecai,"Aw, man, I didn't know deluxe tickets were coated in diamonds."
Rigby,So cool...
Translator,Where are the other two tickets?
Rigby,"Oh, jeez!"
Rigby,"There's no 'other tickets', man. We only had enough for two."
Translator,But we had a contract!
Rigby,Woo!!! Fist Pump!!!!
Mordecai,"Woo, Fist Pump."
Giant Coffee Bean,"Coffee, coffee, coffee!"
Rigby,"Dude, check it. Bang bang! Dude, I've got two if you want to take one to the concert."
Translator,"Mordecai and Rigby, we are very excited for you to be the ones to see Fist Pump. Please accept this coffee to help you make it through concert."
Rigby,Thanks!
Mordecai,"Hey, what the...? This isn't...coffee!?"
Translator,It's chamomile tea...the sleepiest of all teas...
Mordecai,"Rigby, get the...(yawns)"
Mordecai,....tickets.
Mordecai,Huh?
Mordecai,Hey!
Mordecai,"Rigby, come on, they got the tickets! Come on, let's go, let's go!"
Rigby,Fist Pump!
Rigby,Now what are we supposed to do?
Mordecai,Come on. I have an idea.
Benson,You morons! Get back here and help me pick up my gumballs!
Giant Coffee Bean,Coffee...
Mordecai,Give us the tickets!
Translator,"Uh, Mordecai and Rigby. Uh, funny seeing you here..."
Mordecai,"A chainsaw, are you serious!? I mean, what's up with the chainsaw?"
Giant Coffee Bean,Coffee! Coffee coffee!
Translator,Why didn't you buy us tickets?
Mordecai,What are you talking about? We never said we'd buy you tickets!
Translator,But we had a contract!
Rigby,Shut it!
Mordecai,"You know, at first I thought you were cool. But now, I know that you're both total losers."
Rigby,Everybody hates you.
Mordecai,"Oh, and I just realized something."
Translator,What?
Mordecai,Your coffee sucks.
Mordecai and Rigby,OOOHHHH!!!
Llama Guy,"'Sup, Mordecai!?"
Mordecai,"Hey, dude."
Rigby,"Dude, there they are!"
Rigby,We did it! Fist Pump! Fist Pump!
Mordecai,I wonder where Margaret's sitting?
Mordecai,"Aw, sick! It's all sweaty!"
Muscle Man,Woo!! I just threw my shirt! Bring out Fist Pump! Let's do it!
Margaret,"Hey, Mordecai!"
Mordecai,"Hey, Margaret! Fist Pump!"
Margaret,"Mordecai! You have to meet my boyfriend, Slasher!"
Margaret,"Hey, Slasher! That's my friend, Mordecai!"
Slasher,"You should tell your friend he should stop pumping it in the wind, and start pumping in at the gym."
Margaret,Don't be such a jerk!
Slasher,You're dead.
Mordecai,"Oh, this sucks."
Rigby,"Aw, don't worry about her, you'll get another chance."
Rigby,(laughs) Woo!!
Rigby,"Dude, wake up! They're about to come out!"
Rigby,Wait. Must...stay awake. Must...see best band of all... time!
Rigby,"Aw, crap."
Fist Pump,"'Ello! We are Fist Pump! One, two, three, four!"
Mordecai,"Augh, this sucks."
Rigby,What's that supposed to mean?
Mordecai,"It means that the next time we get to pick our job for the day, I get to pick. Why did you pick the Snack Bar?! This is like the worst job at the park, dude!"
Rigby,I think it's the funniest job at the park.
Mordecai,You don't really think that. You just don't want to admit that you're wrong.
Rigby,Why would I admit something that I'm not?
Mordecai,"Dude, seriously, this is more boring than watching you trying to read a children's book."
Rigby,Is it more boring than your face?
Mordecai,I don't know. Is it more boring than my fist in your face?
Rigby,"Is it more boring than my fist in your face, You turd!"
Mordecai,You're a turd!
Rigby,"No, you're a turd!"
Rigby,(Starts fighting) You're the turd!
Pops,"Mordecai, Rigby, stop! We can all be turds."
Rigby,"(Start dusting themselves off) Oh, hey, Pops."
Pops,"So, how do you like being the guardians of the snacks?"
Rigby,It's awesome.
Mordecai,This place is lame.
Pops,"But, Mordecai, don't you like eating snacks for free?"
Mordecai,What?
Pops,"When I work here, all the snacks are free! Ta ta. (Walks away)"
Rigby,I guess this means I was right about the Snack Bar.
Mordecai,Yeaa-uhh!
Mordecai,"I need to eat something healthy, like a salad or something."
Rigby,"What? Are you kidding? Dude, all these snacks are free, dude. (Stops himself from vomiting) Trust me. If we keep eating, we'll feel better in no time."
Mordecai,"Oh, if we eat more, we'll feel better? Dude, quit being a loser."
Rigby,"Loser?! I don't know that I want to listen to the guy who was wrong about the Snack Bar being cool. No, I think I'd rather listen to the guy who's right all the time. ME. (Holds up a fried soda cup and takes a bite out of it)"
Mordecai,Augh! Sick!
Rigby,Hmm. Hmm. (Grimaces in pain as his stomach rumbles)
Mordecai,(Takes a bite of the salad) Ahh. I feel so much better.
Rigby,"(Who is next to a blender with a doughnut, candy, and other junk food inside) So do I. (He starts the blender, grinding all the junk food into goop. He then proceeds to drink it, grimacing in pain again as his stomach rumbles.)"
Mordecai,"Dude, I'm telling you. If you keep eating like that, your body's gonna quit on you."
Rigby,Stop talking!
Mordecai,Whatever. I'm just trying to help. (Walks out of the kitchen)
Rigby,"Hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm. I showed him. (Puts another doughnut in his mouth. A split second later, Rigby is rolling on the floor, groaning in pain) Why isn't more food working...? (Screams in pain, then picks up the doughnut next to him) One more should do it... (He suddenly drops the doughnut as he loses control of his hands) Huh? (Rigby's hands grab his face, pull him to his feet, and drag him around the room. He smashes into a wall, then falls over the fallen chair. His hands then pull really hard, causing his eyes to roll back into his head and glow) What are you doing?! (His hands keep pulling, eventually ejecting Rigby as a green glob of consciousness with Rigby's eyes.)"
Rigby,"Aww, let me back in! (His body pushes him away and runs off) Wait! Come back! (Tries to follow his body, but ends up inside a bucket on the floor) Ohhh... Whatever. I'm just gonna chill in this bucket."
Rigby,(Calling from the bucket) Mordecai! Mordecai!
Mordecai,"(Sees Rigby as the green glob) Aww, SICK! What the heck is that?!"
Rigby,"Ha ha! Who's the loser now, Mordecai?"
Mordecai,Wait... Rigby?
Rigby,"Dude, in your face! I was right! My stomach doesn't even hurt anymore."
Mordecai,"That's because you don't even have a BODY anymore! Dude, this is bad."
Rigby,"Yeah, bad like good! Now shovel some cheese curls into my trash hole!"
Mordecai,"(Sighs, picks up the bucket) You better hope Skips knows how to fix this."
Skips,What happened to his body?
Mordecai,"Dude, I don't know. It like, ditched him or something from eating too much junk food."
Skips,"Well, it looks like it's not that big of a deal, if he doesn't mind being a bodiless consciousness for the rest of his life."
Rigby,"It's cool, I don't mind."
Mordecai,"What?! No! Dude, quit being a loser."
Rigby,Since when does being right make you a--
Mordecai,"(Puts a lid on the bucket and sighs) Skips, what do we have to do? I can't let him stay like this."
Skips,"That's a bit tougher. Once the body departs, you only have till sunset to get it back. You know where it is?"
Mordecai,No.
Skips,"Hmm, then we have to find it. Let's go."
Mordecai,"(Walking out the door with Skips) We'll be right back, Rigby. Just stay here."
Rigby,What? Where ya goin'? At least shovel some cheese curls into my trash hole. Guys? Guys?
Rigby,"(Moving the bucket with all his might, although bodiless; grunting) Ergghh!! Phew! I guess it is kinda harder to move around without my body. (Rigby then sees the hockey stick and roller skates, then comes up with an idea to move around easier)"
Skips,Shh. (Parts the bushes)
Mordecai,(Whispering) What's it doing?
Skips,Eating a salad. Rush him on the count of three.
Mordecai,Okay.
Skips,One....two....
Rigby,"(Loudly) Hey, guys! What's up?"
Mordecai and Skips,No!
Skips,(Points at Rigby) We told you to stay put! (Walks away)
Mordecai,"Ugh! Rigby, you scared it away!"
Rigby,"Oh, don't worry about that! Remember how I said I don't need it? Well, I was right again! Dude, check it! (Wheels around as Mordecai watches in horror) It's a trash can and a roller blade."
Mordecai,"I can't believe you! Please, just stay put! (Walks away)"
Rigby,Hmm-hmm-hmm-hmm-hmm-hmm-hmm-hmm. All this being right is making me hungry.
Muscle Man,"This, Sucks! Wait, what is that? (Sees Rigby in the bucket, skating to the Snack Bar)"
Rigby,(Slams the Snack Bar door open) Gimme some snacks!
Hi Five Ghost,(Scared) What are you?
Muscle Man,Looks like a bucket of diarrhea.
Rigby,"It's me, Rigby!"
Muscle Man,"(Terrified) Oh, man! That boot with wheels stole Rigby's voice!"
Rigby,"No, I didn't steal anything."
Muscle Man,"You're not stealing these voices. C'mon Fives, let's bail! (They climb out of the Snack Bar and run off)"
Rigby,Come back!
Muscle Man,"No way, bro!"
Rigby,"It's me, Rigby! (Trips on a rock) Aw, man."
Skips,(Sniffs the salad) He's close. I'll take care of the body. You go find Rigby. We don't have much time.
Mordecai,Rigby! Rigby! Where is he?
Mordecai,"Hey, have you guys seen Rigby?"
Muscle Man,No. Have you seen a magic garbage can? We need to beat the living-
Mordecai,Magic garbage can? That was Rigby! Which way did he go?
Mordecai,(Gasps) Rigby!
Rigby,Help!
Bodybuilder,No-one can hear you.
Rigby,Who's there?
Bodybuilder,"Don't worry: just another bodiless consciousness. (Admires Rigby and rolls around him, talking) Woah! Hey, did you work out way too hard, too?"
Rigby,N-no. I ate too much junk food.
Bodybuilder,"Yep, that'll do it. Me? I was a bodybuilder. (We see a flashback of a huge, muscular man lifting weights at a gym) I could have gone pro. My friend kept telling me, (a pink blob morphs out of the basketball and starts speaking in angry, mocking tones) ""If you keep pumpin' iron like that, your body's gonna quit on you!"" I told him he was full of it! (Morphs back into the basketball) But I didn't get my bod' back in time and now look at me: stuck with a basketball for a body."
Rigby,"Yeah, well, my body's still good."
Bodybuilder,"Wait, your body's still good? Well, whatcha doin' in here, dummy?"
Rigby,I...
Bodybuilder,You must not want it. Mind if I take it?
Rigby,No!
Bodybuilder,"Don't worry, I'll find it. So long, sucka!"
Rigby,"(Anguished) No!!! (Falls over, crying, but looks over to see the trash door open and Mordecai appear) Mordecai! You were right and I was wrong! (Still crying) I'm sorry for being such a loser. (Pitifully whining in a high voice) Please help me get my body back...!"
Mordecai,"Don't worry, dude. I think we can get it back in time. And even if we mess up, you've always got this! (Holds up the skate-can)"
Mordecai and Rigby,Ohhhhh!!!
Rigby,"But seriously, dude, I want my old body back."
Mordecai,"(Into two-way radio) Skips, I found Rigby."
Skips,"(Through radio) I found the body, but you'd better hurry. We got a problem."
Bodybuilder,"Body, you're worthless! (Slaps the body) I can't believe you can't do a simple clean and jerk!"
Rigby,Hey! What are you doin' with my body?!
Bodybuilder,"Oh, it's you! (Morphs back into Rigby's body) What do you think? Pretty cool, huh?"
Rigby,"No, not pretty cool. You dress me like a loser!"
Bodybuilder,"(Flexes grossly) Aw, you don't like weightlifting singlets? No wonder your body left you. Oh well. Now it's not you anymore... (Flexes again) It's me."
Rigby,Augh! Gimme back my body!
Bodybuilder,Finders keepers.
Mordecai,Skips!
Skips,We tried it the nice way. Now we do it the Skips way.
Bodybuilder,"So long, suckers!"
Skips,He's too fast.
Pops,"Are you having a game of tag, turds?"
Skips,I really wish you wouldn't teach him those words.
Skips,"Pops, slide over."
Rigby,I'll take it from here!
Mordecai,Rigby! No!
Skips,It's too steep. We'll have to go around.
Rigby,Give me my body back!
Bodybuilder,No! Get off me!
Rigby,Get outta my body!
Bodybuilder,"No: you get outta the body, you worm!"
Bodybuilder,"Aw, man, my mouth was open!"
Rigby,"Dude, we did it! I got my body back!"
Mordecai,(Moans in disgust) Are you sure you still want it?
Rigby,I'll never treat you like that again.
Skips,Quick! Before the sun sets.
Pops,(Eyes wide in wonder) Glorious.
Mordecai,Dude. How do you feel?
Rigby,(Screaming)
Rigby,"Well Mordecai, I guess you were right about the Snack Bar being lame. Especially now that we're not into eating all the free snacks."
Mordecai,"Oh, about that. Those snacks weren't free."
Rigby,What?
Mordecai,Turns out only Pops gets snacks for free.
Rigby,(Pitiful whine) Pops?
Mordecai,Yeah. And I guess we're supposed to work here for the next six months just to pay for it all.
Rigby,Ohhh... turds.
Rigby,"Alright, Beef Burrito. I'm gonna give you one more chance to take back what you said about my mom!"
Rigby,I'll kill you!
Mordecai,Tag up! Tag up!
Rigby,What?
Rigby,"Oh, you want us to put the hurt on you?"
Rigby,I think he wants me to put the hurt on him.
Mordecai,I think he wants you to put the hurt on him.
Rigby,You think he wants me to put the hurt on him?
Mordecai,"Yes, I do!"
Rigby,Yeah-yuh! Did you see how awesome it was when I hit the trampoline?
Mordecai,"(laughs) Yeah, I did! But it wasn't as awesome as when you punched that hole in the wall."
Mordecai,"I can't believe I listened to you! I knew I should've gone out to do some work, but no, ""Let's wrestle this stupid doll, it'll be fun!"""
Rigby,But it was fun.
Mordecai,"Well, yeah, but now there's a big hole in the wall! Dude, we're 23 years old, we shouldn't be busting holes in walls. We're gonna get fired for this!"
Rigby,You mean you're gonna get fired for this.
Mordecai,What?
Rigby,"You're the one who threw me too hard, you hole!"
Mordecai,"Don't call me a hole! You're the hole, you're the one who wanted to wrestle!"
Rigby,"Okay, okay...let's not blame anyone. Now, how in the H are we gonna fix this S?"
Mordecai,"I don't know man. (scoffs) We can't fix it, and we definitely can't pay for it, 'cause we don't have any money! Unless you have some money."
Rigby,"No. Besides, I don't even know how much it'd cost to fix a hole like this. Probably a ton."
Mordecai,Exactly. Which leaves us with only one possible solution: We convince Benson to give us raises so we can afford to pay someone else to fix it.
Rigby,"Dude... you are a genius! Of course, raises!"
Mordecai,"Okay, dude, here'sâ€”"
Rigby,"Let me stop you there, because I already know what you're going to say...hamboning."
Mordecai,What?
Rigby,"Yeah, dude, hamboning! We just go up to Benson and we'll be all like, ""We both want raises!"""
Mordecai,"No, man! Stop it!"
Mordecai,We just need to ask him for a raise and just explain all theâ€”
Rigby,"No, no, no, that's not gonna work! What are you, 65?"
Rigby,"Excuse me, sir, can I have a raise?"
Rigby,"Come on! I'm telling you, dude. Hamboning..."
Mordecai,No...
Rigby,"Hamboning will save your life some day. It'll be all like, ""What? You trying to mug me?"""
Mordecai,"No! We're not doing that, okay? Okay?"
Rigby,Fine... (gasps) I know what to do!
Rigby,(snickers) Are you ready for raises?
Rigby,Boop-bweep-boo-boo-boo-boo-boo-boo-boooo!
Mordecai,"Whoa-ho-ho-ho, how did you get that?"
Rigby,I have my methods.
Rigby,(snickers)
Mordecai,"I don't know, dude. How's that gonna get us raises?"
Rigby,"Aw, come on, man! Look!"
Rigby,Just come check it out.
Mordecai,Whoa-ho-ho-ho-ho!
Mordecai,This is the answer to all our problems. Have you named her yet?
Rigby,"Actually, I thought you could do the honors."
Mordecai,Really?
Rigby,Mm-hmm.
Mordecai,"You know, I've always wanted to date a girl named ""The Power""."
Rigby,The Power?
Mordecai,Mm-hmm.
Rigby,I like it.
Rigby,Cool...
Mordecai,"Alright, this time with feeling."
Rigby,"Yeah, yeah! Ready?"
Mordecai,"Yeah, yeah."
Rigby,Okay.
Rigby,"Five, six, seven, eight!"
Rigby,"Give us a raise, loser!"
Rigby,"Hey, it's Pops."
Pops,(laughs) Hello!
Mordecai,"Hey Pops, what's up?"
Pops,Is that the sound of music I hear? (laughs)
Rigby,"Dude, let's use The Power on Pops."
Mordecai,"I don't know, Pops is kinda weird."
Rigby,"Exactly, at least we can test it out on him, and he won't get mad at us if it doesn't work."
Mordecai,"Okay, but let's not call him a loser."
Rigby,Why not?
Mordecai,"He's sensitive. I don't want him to cry, I just want him to give us a raise."
Rigby,"Okay, let's do it."
Rigby,Hey Pops! Check it.
Rigby,"Five, six, seven, eight!"
Rigby,"Give us a raise, Pops!"
Pops,"(laughs) Good show, jolly good show! A pay increase, yes, yes of course. Just let me get my billfold."
Pops,Butterscotch Ripple?
Pops,Ta-ta!
Mordecai,"Dude, I think that just worked."
Rigby,"Yeah, I know."
Mordecai,"I mean, if Pops wasn't so weird, he might have given us actual money."
Rigby,Totally.
Benson,Ugh...
Rigby,"Hey, Benson!"
Rigby,"Five, six, seven, eight!"
Benson,What are you doing?
Rigby,"Give us a raise, loser!"
Benson,"You know, you guys have been working harder. I think you deserve a raise. We can negotiate your new rates later in the week, but for now, how's twenty bucks sound?"
Benson,Keep up the good work.
Rigby,Do you realize what this means?
Mordecai,We can fix the hole?
Rigby,"No, we can do everything we ever wanted!"
Transition into the next scenario,"Mordecai and Rigby, back as their regular unclothed selves, are driving a muscle car. They look towards each other and use The Power to turn it into a hot rod, with flames painted on the side and lower suspension. They drive off and enter the void again, mashing the keys on The Power and summoning multiple things: a bowling pin, fuzzy dice, a guitar, a magic 8-ball, drum-sticks, a cap, a bowling ball, sunglasses, drum pieces, colorful shoes, a samurai sword and a CD titled ""80's METAL!!"". The montage ends with Mordecai and Rigby flying and landing in the Park, they laugh whilst looking up at each other then bump into Skips)"
Skips,You guys shouldn't be doing what you just did.
Rigby,What? The flying or the hole?
Skips,What hole?
Rigby,"Dude, get to The Power, he knows."
Skips,Knows what?
Mordecai,"Nothing Skips, uh, we were just getting back to work."
Mordecai,"Dude, kick it to max power."
Rigby,"Five, six, seven, eight!"
Rigby,Using The Power in your face!
Rigby,Sending you back to your place!
Rigby,Don't look at our crotches while we synchronize our watches!
Rigby,"Boop-boop bweep, boo-boo-boo, boo-bweep-bee-boo, bee-bee-beep, bee-bee-beep, synchronized!"
Rigby,"Go away, Skips, it's time for you to go away!"
Mordecai,It's time for you to go to your room!
Rigby,"Yeah, Skips, it's time for you to go to the moon"
Mordecai,(gasps) Where'd he go?
Rigby,Uh...
Mordecai,Did you just send Skips to the moon?
Rigby,Isn't that what you said?
Mordecai,"No, room! I sent him to his room, not the moon, you idiot! Dude, wish him back."
Rigby,But it doesn't work that way.
Mordecai,What do you mean?
Rigby,"I can't see him, can I?"
Mordecai,"Ugh, then we have to go get him."
Rigby,But he's going to be pissed!
Mordecai,Better than him being dead!
Benson,"Hey! Hey, have you two seen Skips?"
Mordecai,Rigby sent him to the Moon.
Benson,"Wait, what?"
Mordecai,We accidentally sent Skips to the Moon with this keyboard and now we have to get him back.
Pops,"Ooh, I love the Moon."
Benson,"Come on, where's Skips?"
Mordecai,"Ugh! Look, we'll show you."
Rigby,"Come on, let's go! Sheesh, you take forever."
Mordecai,"Sorry, Pops had to go to the bathroom."
Pops,Twice.
Benson,"So, what do we do?"
Mordecai,"Don't worry, we got it."
Rigby,Take us to the Moon! Take us to the Moon! Whoa! Won't you take us to the Moon?
Benson,Haha...very funâ€”
Benson,What is all this junk?
Rigby,"Um, don't get mad at me guys, but, uh - I kinda sent a bunch of stuff to the moon while you guys were in the house."
Rigby,"A bunch of baby ducks, send 'em to the moon. Soda machine that doesn't work, send 'em to the moon!"
Mordecai,You drill bit! What else did you send?
Pops,"Look, it's Skips! There he is!"
Mordecai,"Oh great, it had to be a monster."
Benson,What is that?
Mordecai,"Rigby, you guys go get Skips! We'll pick you up!"
Rigby,"Okay, okay!"
Mordecai,"Pops, help me with this!"
Rigby,"Let's go, let's go!"
Benson,Come on!
Rigby,"Gimme a break, I have to come up with the words, you know!"
Rigby,"Okay, I got it."
Rigby,"G-g-g-go away big monster go-go...no, no, no, no, no, no, no, no!"
Benson,What?
Rigby,"Dude, I think the batteries just died."
Benson,What!?
Mordecai,Hurry up dude!
Rigby,The batteries are dead!
Mordecai,What!?
Rigby,"Hamboning will save your life some day. It'll be all like, ""What? You trying to mug me?"" I'm telling you, dude! Hamboning!"
Rigby,I know what to do.
Rigby,Hold this.
Rigby,No!!
Rigby,Woo! Hamboning!
Mordecai,I can't believe you just did that.
Skips,Use your keyboard!
Rigby,The batteries are dead!
Skips,Play it!
Skips,"Take us home, take us home, take us all back home!"
Rigby,(laughs) We did it! Yeah!
Rigby,"Hey, that's mine!"
Benson,"Nope, you sent him to the moon so the least you can do is give him your keyboard! Right, Skips?"
Skips,Right.
Rigby,Aww...
Benson,And let's have it...
Rigby,What?
Benson,The forty dollars you two conned out of me with that stupid keyboard crap! I know you've still got it. Now give it back.
Benson,Now clean up this mess or you're fired!
Benson,"Ugh, can you believe this?"
Skips,No.
Rigby,"Aw, dude, this sucks. The hole's still there. Do you think Benson noticed it?"
Mordecai,He won't now!
Rigby,"Dude, you're a genius!"
Margaret,"Here're you guys, enjoy."
Rigby,"(Takes a big sip from his coffee) Ah! Nothing beats drinkin' joe with my bro! Haha, right, Mordecai?"
Mordecai,"Huh, what? Yeeeeeaaahh. (Sighs) (Margaret then looks at Mordecai) Dude, Margaret totally just smiled at me."
Rigby,No she didn't.
Mordecai,Yes she did.
Rigby,Then why don't you ask her out?
Mordecai,Agh. It's not that easy. You wouldn't understand.
Rigby,"Yeah, I wouldn't understand. Probably 'cos I'm too busy drinking joe with my bro like we came here to do in the first place, remember?"
Mordecai,Shh. Wait.
Man on TV,"I once was lost, but now I'm found. (Sprays cologne, and women tears the man's clothes off) DudeTime, for men."
Rigby,"Pssh. What kind of loser would want a bunch of chicks tearing their clothes off? Right, Mordecai?"
Margaret,Mordecai.
Mordecai,"Oh, hey Margaret. Didn't notice you there."
Margaret,"Gee Mordecai, I don't think I've ever realized how awesome you are. And you smell great too. Mordecai? Mordecai?"
Rigby,Mordecai? Mordecai?
Mordecai,"Dude, I'm buying that cologne."
Rigby,Agh! Why? You said you would chip in for that awesome new game.
Rigby,(Sings the theme song from the commercial) Bam! Now do want that game?
Mordecai,"No, I still want the cologne."
Rigby,If you buy that cologne then I'm gonna lose all respect for you.
Mordecai,Good. Then we'll both have the same amount of respect for each other.
Rigby,"Ugh! What's with you? We had a plan: coffee, Strong Johns, hang out!"
Mordecai,"Dude, we can hang out later. I just wanna go buy some that cologne really quick."
Rigby,"No, that wasn't part of the plan! If you leave, then I'm gonna have to get some new friends!"
Mordecai,That's cool. I'll probably be too busy with the ladies anyway.
